RepDiplomatique,Pays,Localite,LieuDeVote,NumeroBureau,Electeurs
ITALIE,ITALIE,BRESCIA,BRESCIA,07,310
ITALIE,ITALIE,BRESCIA,CAGLIARI,01,436
ITALIE,ITALIE,BRESCIA,CAGLIARI,02,439
ITALIE,ITALIE,BRESCIA,CASERTA,01,473
ITALIE,ITALIE,BRESCIA,CATANIA,01,419
ITALIE,ITALIE,BRESCIA,CATANIA,02,419
ITALIE,ITALIE,BRESCIA,COMO,01,563
ITALIE,ITALIE,BRESCIA,COSENZA,01,48
ITALIE,ITALIE,BRESCIA,CUNEO,01,548
ITALIE,ITALIE,BRESCIA,FAENZA,01,465
ITALIE,ITALIE,BRESCIA,FAENZA,02,465
ITALIE,ITALIE,BRESCIA,FANO,01,280
ITALIE,ITALIE,BRESCIA,FIRENZE,01,521
ITALIE,ITALIE,BRESCIA,FIRENZE,02,172
ITALIE,ITALIE,BRESCIA,FLORENCE,01,351
ITALIE,ITALIE,BRESCIA,FLORENCE,02,350
ITALIE,ITALIE,BRESCIA,FOGGIA,01,224
ITALIE,ITALIE,BRESCIA,GENES,01,477
ITALIE,ITALIE,BRESCIA,GENES,02,477
ITALIE,ITALIE,BRESCIA,GENES,03,476
ITALIE,ITALIE,BRESCIA,ISCHIO,01,260
ITALIE,ITALIE,BRESCIA,LADISPOLI,01,36
ITALIE,ITALIE,BRESCIA,LA SPEZIA,01,123
ITALIE,ITALIE,BRESCIA,LECCE,01,536
ITALIE,ITALIE,BRESCIA,LECCE,02,85
ITALIE,ITALIE,BRESCIA,LECCO,01,532
ITALIE,ITALIE,BRESCIA,LECCO,02,532
ITALIE,ITALIE,BRESCIA,LAMEZIA TERME,01,265
